Cites	Authors	Title	Year	Source	Publisher	ArticleURL	CitesURL	GSRank	QueryDate	Type	DOI	ISSN	CitationURL	Volume	Issue	StartPage	EndPage	ECC	CitesPerYear	CitesPerAuthor	AuthorCount	Age	Abstract	FullTextURL	RelatedURL
33	M. Nassereddine	Applications of Internet of Things (IoT) in Smart Cities	2024	Advanced IoT Technologies and Applications in the Industry 4.0 Digital Economy		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85177760701&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85177760701&origin=inward	11	11/28/2024 19:10	Book Chapter	10.1201/9781003434269-6		https://api.elsevier.com/content/abstract/scopus_id/85177760701			109	136	33	33	33	1	1			
30	L.Y. Rock	Usage and impact of the internet-of-things-based smart home technology: a quality-of-life perspective	2024	Universal Access in the Information Society		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85141977922&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85141977922&origin=inward	12	11/28/2024 19:10	Article	10.1007/s10209-022-00937-0	1615-5289	https://api.elsevier.com/content/abstract/scopus_id/85141977922	23	1	345	364	30	30	30	1	1			
30	B.A.Y. Alqaralleh	Blockchain-assisted secure image transmission and diagnosis model on Internet of Medical Things Environment	2024	Personal and Ubiquitous Computing		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85101785726&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85101785726&origin=inward	13	11/28/2024 19:10	Article	10.1007/s00779-021-01543-2	1617-4909	https://api.elsevier.com/content/abstract/scopus_id/85101785726	28	1	17	27	30	30	30	1	1			
29	M. Saied	Review of artificial intelligence for enhancing intrusion detection in the internet of things	2024	Engineering Applications of Artificial Intelligence		https://api.elsevier.com/content/article/eid/1-s2.0-S095219762301415X	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85174339857&origin=inward	14	11/28/2024 19:10	Short Survey	10.1016/j.engappai.2023.107231	0952-1976	https://api.elsevier.com/content/abstract/scopus_id/85174339857	127				29	29	29	1	1			
29	J. Miao	A blockchain-enabled privacy-preserving authentication management protocol for Internet of Medical Things	2024	Expert Systems with Applications		https://api.elsevier.com/content/article/eid/1-s2.0-S0957417423018316	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85170423010&origin=inward	15	11/28/2024 19:10	Article	10.1016/j.eswa.2023.121329	0957-4174	https://api.elsevier.com/content/abstract/scopus_id/85170423010	237				29	29	29	1	1			
27	A. Yazdinejad	Hybrid Privacy Preserving Federated Learning Against Irregular Users in Next-Generation Internet of Things	2024	Journal of Systems Architecture		https://api.elsevier.com/content/article/eid/1-s2.0-S1383762124000250	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85185397376&origin=inward	16	11/28/2024 19:10	Article	10.1016/j.sysarc.2024.103088	1383-7621	https://api.elsevier.com/content/abstract/scopus_id/85185397376	148				27	27	27	1	1			
27	A. Rejeb	Unleashing the power of internet of things and blockchain: A comprehensive analysis and future directions	2024	Internet of Things and Cyber-Physical Systems		https://api.elsevier.com/content/article/eid/1-s2.0-S2667345223000366	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85165272275&origin=inward	17	11/28/2024 19:10	Review	10.1016/j.iotcps.2023.06.003	2667-3452	https://api.elsevier.com/content/abstract/scopus_id/85165272275	4		1	18	27	27	27	1	1			
27	M.A. Haque	Sustainable and efficient E-learning internet of things system through blockchain technology	2024	E-Learning and Digital Media		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85148076980&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85148076980&origin=inward	18	11/28/2024 19:10	Article	10.1177/20427530231156711	1741-8887	https://api.elsevier.com/content/abstract/scopus_id/85148076980	21	3	216	235	27	27	27	1	1			
26	G.K. Kumar	Internet of things sensors and support vector machine integrated intelligent irrigation system for agriculture industry	2024	Discover Sustainability		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85182227286&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85182227286&origin=inward	19	11/28/2024 19:10	Article	10.1007/s43621-024-00179-5	2662-9984	https://api.elsevier.com/content/abstract/scopus_id/85182227286	5	1			26	26	26	1	1			
25	A. Badshah	Towards Smart Education through Internet of Things: A Survey	2024	ACM Computing Surveys		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85174363201&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85174363201&origin=inward	20	11/28/2024 19:10	Article	10.1145/3610401	0360-0300	https://api.elsevier.com/content/abstract/scopus_id/85174363201	56	2			25	25	25	1	1			
23	S. Venkatesh	Data Reduction Techniques in Wireless Sensor Networks with Internet of Things	2024	International Journal of Intelligent Systems and Applications in Engineering		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85182465593&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85182465593&origin=inward	21	11/28/2024 19:10	Article		2147-6799	https://api.elsevier.com/content/abstract/scopus_id/85182465593	12	8	81	92	23	23	23	1	1			
23	X. Mu	The applications of Internet of Things (IoT) in industrial management: a science mapping review	2024	International Journal of Production Research		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85180833488&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85180833488&origin=inward	22	11/28/2024 19:10	Review	10.1080/00207543.2023.2290229	0020-7543	https://api.elsevier.com/content/abstract/scopus_id/85180833488	62	5	1928	1952	23	23	23	1	1			
23	I. Vlachos	Smart and flexible manufacturing systems using Autonomous Guided Vehicles (AGVs) and the Internet of Things (IoT)	2024	International Journal of Production Research		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85141052390&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85141052390&origin=inward	23	11/28/2024 19:10	Article	10.1080/00207543.2022.2136282	0020-7543	https://api.elsevier.com/content/abstract/scopus_id/85141052390	62	15	5574	5595	23	23	23	1	1			
22	S.S. Dari	Securing micro transactions in the Internet of Things with cryptography primitives	2024	Journal of Discrete Mathematical Sciences and Cryptography		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85191768721&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85191768721&origin=inward	24	11/28/2024 19:10	Article	10.47974/JDMSC-1925	0972-0529	https://api.elsevier.com/content/abstract/scopus_id/85191768721	27	2	753	762	22	22	22	1	1			
22	Q. Lin	Secure Internet of medical Things (IoMT) based on ECMQV-MAC authentication protocol and EKMC-SCP blockchain networking	2024	Information Sciences		https://api.elsevier.com/content/article/eid/1-s2.0-S0020025523013683	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85175426979&origin=inward	25	11/28/2024 19:10	Article	10.1016/j.ins.2023.119783	0020-0255	https://api.elsevier.com/content/abstract/scopus_id/85175426979	654				22	22	22	1	1			
22	B.L.Y. Agbley	Federated Fusion of Magnified Histopathological Images for Breast Tumor Classification in the Internet of Medical Things	2024	IEEE Journal of Biomedical and Health Informatics		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85151356198&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85151356198&origin=inward	26	11/28/2024 19:10	Article	10.1109/JBHI.2023.3256974	2168-2194	https://api.elsevier.com/content/abstract/scopus_id/85151356198	28	6	3389	3400	22	22	22	1	1			
20	G. Moloudian	"RF Energy Harvesting Techniques for Battery-Less Wireless Sensing, Industry 4.0, and Internet of Things: A Review"	2024	IEEE Sensors Journal		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85182926437&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85182926437&origin=inward	27	11/28/2024 19:10	Article	10.1109/JSEN.2024.3352402	1530-437X	https://api.elsevier.com/content/abstract/scopus_id/85182926437	24	5	5732	5745	20	20	20	1	1			
20	B. Babayigit	Industrial Internet of Things: A Review of Improvements Over Traditional SCADA Systems for Industrial Automation	2024	IEEE Systems Journal		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85159821891&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85159821891&origin=inward	28	11/28/2024 19:10	Article	10.1109/JSYST.2023.3270620	1932-8184	https://api.elsevier.com/content/abstract/scopus_id/85159821891	18	1	120	133	20	20	20	1	1			
20	C. Chakraborty	FC-SEEDA: fog computing-based secure and energy efficient data aggregation scheme for Internet of healthcare Things	2024	Neural Computing and Applications		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85146718108&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85146718108&origin=inward	29	11/28/2024 19:10	Article	10.1007/s00521-023-08270-0	0941-0643	https://api.elsevier.com/content/abstract/scopus_id/85146718108	36	1	241	257	20	20	20	1	1			
20	G. Sahu	A Dual-Channel Dehaze-Net for Single Image Dehazing in Visual Internet of Things Using PYNQ-Z2 Board	2024	IEEE Transactions on Automation Science and Engineering		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85141549576&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85141549576&origin=inward	30	11/28/2024 19:10	Article	10.1109/TASE.2022.3217801	1545-5955	https://api.elsevier.com/content/abstract/scopus_id/85141549576	21	1	305	319	20	20	20	1	1			
19	K. Zheng	Short-Term and Long-Term Throughput Maximization in Mobile Wireless-Powered Internet of Things	2024	IEEE Internet of Things Journal		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85176294117&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85176294117&origin=inward	31	11/28/2024 19:10	Article	10.1109/JIOT.2023.3326440	2327-4662	https://api.elsevier.com/content/abstract/scopus_id/85176294117	11	6	10575	10591	19	19	19	1	1			
19	S. Mukherjee	Achieving organizational performance by integrating industrial Internet of things in the SMEs: a developing country perspective	2024	TQM Journal		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85152065531&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85152065531&origin=inward	32	11/28/2024 19:10	Article	10.1108/TQM-07-2022-0221	1754-2731	https://api.elsevier.com/content/abstract/scopus_id/85152065531	36	1	265	287	19	19	19	1	1			
19	S. Salim	A Blockchain-Enabled Explainable Federated Learning for Securing Internet-of-Things-Based Social Media 3.0 Networks	2024	IEEE Transactions on Computational Social Systems		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85122283445&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85122283445&origin=inward	33	11/28/2024 19:10	Article	10.1109/TCSS.2021.3134463	2329-924X	https://api.elsevier.com/content/abstract/scopus_id/85122283445	11	4	4681	4697	19	19	19	1	1			
18	Y. Hu	INVESTIGATING THE INTERNET-OF-THINGS (IOT) RISKS FOR SUPPLY CHAIN MANAGEMENT USING Q-RUNG ORTHOPAIR FUZZY-SWARA-ARAS FRAMEWORK	2024	Technological and Economic Development of Economy		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85193294678&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85193294678&origin=inward	34	11/28/2024 19:10	Article	10.3846/tede.2022.16583	2029-4913	https://api.elsevier.com/content/abstract/scopus_id/85193294678	30	2	376	401	18	18	18	1	1			
18	K. Valaskova	"Digital twin simulation modeling, artificial intelligence-based Internet of Manufacturing Things systems, and virtual machine and cognitive computing algorithms in the Industry 4.0-based Slovak labor market"	2024	Oeconomia Copernicana		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85191773886&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85191773886&origin=inward	35	11/28/2024 19:10	Article	10.24136/oc.2814	2083-1277	https://api.elsevier.com/content/abstract/scopus_id/85191773886	15	1	95	143	18	18	18	1	1			
18	Y.K. Saheed	A voting gray wolf optimizer-based ensemble learning models for intrusion detection in the Internet of Things	2024	International Journal of Information Security		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85181969268&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85181969268&origin=inward	36	11/28/2024 19:10	Article	10.1007/s10207-023-00803-x	1615-5262	https://api.elsevier.com/content/abstract/scopus_id/85181969268	23	3	1557	1581	18	18	18	1	1			
18	A. Zaidi	Smart Implementation of Industrial Internet of Things Using Embedded Mechatronic System	2024	IEEE Embedded Systems Letters		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85170581197&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85170581197&origin=inward	37	11/28/2024 19:10	Article	10.1109/LES.2023.3309985	1943-0663	https://api.elsevier.com/content/abstract/scopus_id/85170581197	16	2	190	193	18	18	18	1	1			
18	S. Cherbal	"Security in internet of things: a review on approaches based on blockchain, machine learning, cryptography, and quantum computing"	2024	Journal of Supercomputing		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85170083051&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85170083051&origin=inward	38	11/28/2024 19:10	Article	10.1007/s11227-023-05616-2	0920-8542	https://api.elsevier.com/content/abstract/scopus_id/85170083051	80	3	3738	3816	18	18	18	1	1			
17	S.F. Ahmed	"Toward a Secure 5G-Enabled Internet of Things: A Survey on Requirements, Privacy, Security, Challenges, and Opportunities"	2024	IEEE Access		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85182353208&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85182353208&origin=inward	39	11/28/2024 19:10	Article	10.1109/ACCESS.2024.3352508	2169-3536	https://api.elsevier.com/content/abstract/scopus_id/85182353208	12		13125	13145	17	17	17	1	1			
17	A. Hamdan	"Incorporation of artificial intelligence, Big Data, and Internet of Things (IoT): an insight into the technological implementations in business success"	2024	Journal of Decision Systems		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85141405544&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85141405544&origin=inward	40	11/28/2024 19:10	Article	10.1080/12460125.2022.2143618	1246-0125	https://api.elsevier.com/content/abstract/scopus_id/85141405544	33	2	195	198	17	17	17	1	1			
16	D. Namakshenas	Federated Quantum-Based Privacy-Preserving Threat Detection Model for Consumer Internet of Things	2024	IEEE Transactions on Consumer Electronics		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85188014294&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85188014294&origin=inward	41	11/28/2024 19:10	Article	10.1109/TCE.2024.3377550	0098-3063	https://api.elsevier.com/content/abstract/scopus_id/85188014294					16	16	16	1	1			
16	A. Morchid	High-technology agriculture system to enhance food security: A concept of smart irrigation system using Internet of Things and cloud computing	2024	Journal of the Saudi Society of Agricultural Sciences		https://api.elsevier.com/content/article/eid/1-s2.0-S1658077X24000110	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85187516438&origin=inward	42	11/28/2024 19:10	Article	10.1016/j.jssas.2024.02.001	1658-077X	https://api.elsevier.com/content/abstract/scopus_id/85187516438					16	16	16	1	1			
16	S. Yu	Deep Q-Network-Based Open-Set Intrusion Detection Solution for Industrial Internet of Things	2024	IEEE Internet of Things Journal		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85178054097&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85178054097&origin=inward	43	11/28/2024 19:10	Article	10.1109/JIOT.2023.3333903	2327-4662	https://api.elsevier.com/content/abstract/scopus_id/85178054097	11	7	12536	12550	16	16	16	1	1			
16	W.A. Jabbar	Internet of things enabled parking management system using long range wide area network for smart city	2024	Internet of Things and Cyber-Physical Systems		https://api.elsevier.com/content/article/eid/1-s2.0-S2667345223000494	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85171146343&origin=inward	44	11/28/2024 19:10	Article	10.1016/j.iotcps.2023.09.001	2667-3452	https://api.elsevier.com/content/abstract/scopus_id/85171146343	4		82	98	16	16	16	1	1			
16	M. Sigwart	A secure and extensible blockchain-based data provenance framework for the Internet of Things	2024	Personal and Ubiquitous Computing		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85086591225&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85086591225&origin=inward	45	11/28/2024 19:10	Article	10.1007/s00779-020-01417-z	1617-4909	https://api.elsevier.com/content/abstract/scopus_id/85086591225	28	1	309	323	16	16	16	1	1			
15	J.C. Priya	Improved blockchain-based user authentication protocol with ring signature for internet of medical things	2024	Peer-to-Peer Networking and Applications		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85192829488&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85192829488&origin=inward	46	11/28/2024 19:10	Article	10.1007/s12083-024-01716-9	1936-6442	https://api.elsevier.com/content/abstract/scopus_id/85192829488	17	4	2415	2434	15	15	15	1	1			
15	A.N. Upadhyaya	Implementation of the internet of things (IoT) in remote healthcare	2024	Analyzing Current Digital Healthcare Trends Using Social Networks		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85191827678&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85191827678&origin=inward	47	11/28/2024 19:10	Book Chapter	10.4018/979-8-3693-1934-5.ch006		https://api.elsevier.com/content/abstract/scopus_id/85191827678			104	124	15	15	15	1	1			
15	X. Zhou	Federated distillation and blockchain empowered secure knowledge sharing for Internet of medical Things	2024	Information Sciences		https://api.elsevier.com/content/article/eid/1-s2.0-S0020025524001300	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85184080919&origin=inward	48	11/28/2024 19:10	Article	10.1016/j.ins.2024.120217	0020-0255	https://api.elsevier.com/content/abstract/scopus_id/85184080919	662				15	15	15	1	1			
15	M.A. Musarat	A survey-based approach of framework development for improving the application of internet of things in the construction industry of Malaysia	2024	Results in Engineering		https://api.elsevier.com/content/article/eid/1-s2.0-S2590123024000768	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85183839637&origin=inward	49	11/28/2024 19:10	Article	10.1016/j.rineng.2024.101823	2590-1230	https://api.elsevier.com/content/abstract/scopus_id/85183839637	21				15	15	15	1	1			
15	Y. Ma	Privacy-Preserving TPE-Based JPEG Image Retrieval in Cloud-Assisted Internet of Things	2024	IEEE Internet of Things Journal		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85166777663&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85166777663&origin=inward	50	11/28/2024 19:10	Article	10.1109/JIOT.2023.3301042	2327-4662	https://api.elsevier.com/content/abstract/scopus_id/85166777663	11	3	4842	4856	15	15	15	1	1			
15	L. Turchet	Latency and Reliability Analysis of a 5G-Enabled Internet of Musical Things System	2024	IEEE Internet of Things Journal		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85163420842&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85163420842&origin=inward	51	11/28/2024 19:10	Article	10.1109/JIOT.2023.3288818	2327-4662	https://api.elsevier.com/content/abstract/scopus_id/85163420842	11	1	1228	1240	15	15	15	1	1			
14	F. Oliveira	"Internet of Intelligent Things: A convergence of embedded systems, edge computing and machine learning"	2024	Internet of Things (Netherlands)		https://api.elsevier.com/content/article/eid/1-s2.0-S2542660524000945	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85186722619&origin=inward	52	11/28/2024 19:10	Review	10.1016/j.iot.2024.101153	2542-6605	https://api.elsevier.com/content/abstract/scopus_id/85186722619	26				14	14	14	1	1			
14	D.M. Mathkor	Multirole of the internet of medical things (IoMT) in biomedical systems for managing smart healthcare systems: An overview of current and future innovative trends	2024	Journal of Infection and Public Health		https://api.elsevier.com/content/article/eid/1-s2.0-S1876034124000194	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85185507500&origin=inward	53	11/28/2024 19:10	Review	10.1016/j.jiph.2024.01.013	1876-0341	https://api.elsevier.com/content/abstract/scopus_id/85185507500	17	4	559	572	14	14	14	1	1			
14	S. Attaran	Digital Twins and Industrial Internet of Things: Uncovering operational intelligence in industry 4.0	2024	Decision Analytics Journal		https://api.elsevier.com/content/article/eid/1-s2.0-S277266222400002X	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85183562220&origin=inward	54	11/28/2024 19:10	Article	10.1016/j.dajour.2024.100398	2772-6622	https://api.elsevier.com/content/abstract/scopus_id/85183562220	10				14	14	14	1	1			
14	W. Mu	"Making food systems more resilient to food safety risks by including artificial intelligence, big data, and internet of things into food safety early warning and emerging risk identification tools"	2024	Comprehensive Reviews in Food Science and Food Safety		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85182839773&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85182839773&origin=inward	55	11/28/2024 19:10	Review	10.1111/1541-4337.13296	1541-4337	https://api.elsevier.com/content/abstract/scopus_id/85182839773	23	1	1	18	14	14	14	1	1			
14	H. Liao	A Survey of Deep Learning Technologies for Intrusion Detection in Internet of Things	2024	IEEE Access		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85181555152&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85181555152&origin=inward	56	11/28/2024 19:10	Article	10.1109/ACCESS.2023.3349287	2169-3536	https://api.elsevier.com/content/abstract/scopus_id/85181555152	12		4745	4761	14	14	14	1	1			
14	M.A. Jan	Lightweight and smart data fusion approaches for wearable devices of the Internet of Medical Things	2024	Information Fusion		https://api.elsevier.com/content/article/eid/1-s2.0-S1566253523003925	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85175329463&origin=inward	57	11/28/2024 19:10	Article	10.1016/j.inffus.2023.102076	1566-2535	https://api.elsevier.com/content/abstract/scopus_id/85175329463	103				14	14	14	1	1			
